date_report,province,cases,cumulative_cases
2020-01-25,Alberta,0,0
2020-01-26,Alberta,0,0
2020-01-27,Alberta,0,0
2020-01-28,Alberta,0,0
2020-01-29,Alberta,0,0
2020-01-30,Alberta,0,0
2020-01-31,Alberta,0,0
2020-02-01,Alberta,0,0
2020-02-02,Alberta,0,0
2020-02-03,Alberta,0,0
2020-02-04,Alberta,0,0
2020-02-05,Alberta,0,0
2020-02-06,Alberta,0,0
2020-02-07,Alberta,0,0
2020-02-08,Alberta,0,0
2020-02-09,Alberta,0,0
2020-02-10,Alberta,0,0
2020-02-11,Alberta,0,0
2020-02-12,Alberta,0,0
2020-02-13,Alberta,0,0
2020-02-14,Alberta,0,0
2020-02-15,Alberta,0,0
2020-02-16,Alberta,0,0
2020-02-17,Alberta,0,0
2020-02-18,Alberta,0,0
2020-02-19,Alberta,0,0
2020-02-20,Alberta,0,0
2020-02-21,Alberta,0,0
2020-02-22,Alberta,0,0
2020-02-23,Alberta,0,0
2020-02-24,Alberta,0,0
2020-02-25,Alberta,0,0
2020-02-26,Alberta,0,0
2020-02-27,Alberta,0,0
2020-02-28,Alberta,0,0
2020-02-29,Alberta,0,0
2020-03-01,Alberta,0,0
2020-03-02,Alberta,0,0
2020-03-03,Alberta,0,0
2020-03-04,Alberta,0,0
2020-03-05,Alberta,1,1
2020-03-06,Alberta,1,2
2020-03-07,Alberta,0,2
2020-03-08,Alberta,2,4
2020-03-09,Alberta,10,14
2020-03-10,Alberta,0,14
2020-03-11,Alberta,5,19
2020-03-12,Alberta,4,23
2020-03-13,Alberta,6,29
2020-03-14,Alberta,10,39
2020-03-15,Alberta,17,56
2020-03-16,Alberta,18,74
2020-03-17,Alberta,23,97
2020-03-18,Alberta,22,119
2020-03-19,Alberta,27,146
2020-03-20,Alberta,49,195
2020-03-21,Alberta,31,226
2020-03-22,Alberta,33,259
2020-03-23,Alberta,42,301
2020-03-24,Alberta,57,358
2020-03-25,Alberta,61,419
2020-03-26,Alberta,67,486
2020-03-27,Alberta,56,542
2020-03-28,Alberta,79,621
2020-03-29,Alberta,40,661
2020-03-30,Alberta,29,690
2020-03-31,Alberta,64,754
2020-04-01,Alberta,117,871
2020-04-02,Alberta,97,968
2020-04-03,Alberta,107,1075
2020-04-04,Alberta,106,1181
2020-04-05,Alberta,69,1250
2020-04-06,Alberta,98,1348
2020-04-07,Alberta,25,1373
2020-04-08,Alberta,50,1423
2020-04-09,Alberta,28,1451
2020-04-10,Alberta,49,1500
2020-04-11,Alberta,69,1569
2020-04-12,Alberta,82,1651
2020-01-25,BC,0,0
2020-01-26,BC,0,0
2020-01-27,BC,0,0
2020-01-28,BC,1,1
2020-01-29,BC,0,1
2020-01-30,BC,0,1
2020-01-31,BC,0,1
2020-02-01,BC,0,1
2020-02-02,BC,0,1
2020-02-03,BC,0,1
2020-02-04,BC,1,2
2020-02-05,BC,0,2
2020-02-06,BC,2,4
2020-02-07,BC,0,4
2020-02-08,BC,0,4
2020-02-09,BC,0,4
2020-02-10,BC,0,4
2020-02-11,BC,0,4
2020-02-12,BC,0,4
2020-02-13,BC,0,4
2020-02-14,BC,1,5
2020-02-15,BC,0,5
2020-02-16,BC,0,5
2020-02-17,BC,0,5
2020-02-18,BC,0,5
2020-02-19,BC,0,5
2020-02-20,BC,1,6
2020-02-21,BC,0,6
2020-02-22,BC,0,6
2020-02-23,BC,0,6
2020-02-24,BC,1,7
2020-02-25,BC,0,7
2020-02-26,BC,0,7
2020-02-27,BC,0,7
2020-02-28,BC,0,7
2020-02-29,BC,1,8
2020-03-01,BC,0,8
2020-03-02,BC,0,8
2020-03-03,BC,4,12
2020-03-04,BC,1,13
2020-03-05,BC,8,21
2020-03-06,BC,0,21
2020-03-07,BC,6,27
2020-03-08,BC,0,27
2020-03-09,BC,5,32
2020-03-10,BC,7,39
2020-03-11,BC,7,46
2020-03-12,BC,7,53
2020-03-13,BC,11,64
2020-03-14,BC,9,73
2020-03-15,BC,0,73
2020-03-16,BC,30,103
2020-03-17,BC,83,186
2020-03-18,BC,45,231
2020-03-19,BC,40,271
2020-03-20,BC,77,348
2020-03-21,BC,76,424
2020-03-22,BC,0,424
2020-03-23,BC,48,472
2020-03-24,BC,145,617
2020-03-25,BC,42,659
2020-03-26,BC,66,725
2020-03-27,BC,67,792
2020-03-28,BC,92,884
2020-03-29,BC,0,884
2020-03-30,BC,86,970
2020-03-31,BC,43,1013
2020-04-01,BC,53,1066
2020-04-02,BC,55,1121
2020-04-03,BC,53,1174
2020-04-04,BC,29,1203
2020-04-05,BC,0,1203
2020-04-06,BC,63,1266
2020-04-07,BC,25,1291
2020-04-08,BC,45,1336
2020-04-09,BC,34,1370
2020-04-10,BC,40,1410
2020-04-11,BC,35,1445
2020-04-12,BC,0,1445
2020-01-25,Manitoba,0,0
2020-01-26,Manitoba,0,0
2020-01-27,Manitoba,0,0
2020-01-28,Manitoba,0,0
2020-01-29,Manitoba,0,0
2020-01-30,Manitoba,0,0
2020-01-31,Manitoba,0,0
2020-02-01,Manitoba,0,0
2020-02-02,Manitoba,0,0
2020-02-03,Manitoba,0,0
2020-02-04,Manitoba,0,0
2020-02-05,Manitoba,0,0
2020-02-06,Manitoba,0,0
2020-02-07,Manitoba,0,0
2020-02-08,Manitoba,0,0
2020-02-09,Manitoba,0,0
2020-02-10,Manitoba,0,0
2020-02-11,Manitoba,0,0
2020-02-12,Manitoba,0,0
2020-02-13,Manitoba,0,0
2020-02-14,Manitoba,0,0
2020-02-15,Manitoba,0,0
2020-02-16,Manitoba,0,0
2020-02-17,Manitoba,0,0
2020-02-18,Manitoba,0,0
2020-02-19,Manitoba,0,0
2020-02-20,Manitoba,0,0
2020-02-21,Manitoba,0,0
2020-02-22,Manitoba,0,0
2020-02-23,Manitoba,0,0
2020-02-24,Manitoba,0,0
2020-02-25,Manitoba,0,0
